Quarter,Company,Market_Share,Revenue_Growth,Customer_Satisfaction,Product_Diversity,Price_Competitiveness,Online_Presence,Brand_Strength
Q1 2023,TechTrends,24.5,6.2,4.3,7.8,8.2,8.5,7.9
Q1 2023,ElectroMax,28.8,7.5,4.1,8.4,7.6,8.8,8.6
Q1 2023,GadgetWorld,18.3,5.1,4.0,6.5,8.5,7.4,7.2
Q1 2023,DigitalDirect,14.2,4.0,3.8,5.9,8.7,6.8,6.4
Q1 2023,TechDepot,14.2,3.8,3.7,7.2,7.8,6.2,6.9
Q2 2023,TechTrends,25.1,6.8,4.3,7.9,8.3,8.6,8.0
Q2 2023,ElectroMax,28.0,7.2,4.1,8.5,7.5,8.9,8.7
Q2 2023,GadgetWorld,18.5,5.3,4.0,6.7,8.6,7.5,7.3
Q2 2023,DigitalDirect,14.5,4.2,3.9,6.0,8.8,6.9,6.5
Q2 2023,TechDepot,13.9,3.6,3.7,7.3,7.7,6.3,6.8
Q3 2023,TechTrends,25.8,7.4,4.4,8.0,8.3,8.7,8.1
Q3 2023,ElectroMax,27.2,6.8,4.2,8.5,7.4,8.9,8.6
Q3 2023,GadgetWorld,18.8,5.6,4.1,6.8,8.6,7.6,7.4
Q3 2023,DigitalDirect,14.8,4.5,3.9,6.1,8.8,7.0,6.6
Q3 2023,TechDepot,13.4,3.5,3.8,7.3,7.7,6.4,6.8
Q4 2023,TechTrends,26.5,8.0,4.4,8.1,8.4,8.8,8.2
Q4 2023,ElectroMax,26.8,6.5,4.2,8.5,7.4,8.9,8.6
Q4 2023,GadgetWorld,19.0,5.8,4.1,6.9,8.7,7.7,7.5
Q4 2023,DigitalDirect,15.0,4.7,4.0,6.2,8.9,7.1,6.7
Q4 2023,TechDepot,12.7,3.3,3.8,7.4,7.6,6.5,6.7
Q1 2024,TechTrends,27.2,7.8,4.5,8.2,8.5,8.9,8.4
Q1 2024,ElectroMax,26.3,6.3,4.3,8.5,7.3,8.9,8.5
Q1 2024,GadgetWorld,19.3,6.0,4.2,7.0,8.7,7.8,7.6
Q1 2024,DigitalDirect,15.2,4.9,4.0,6.3,8.9,7.2,6.8
Q1 2024,TechDepot,12.0,3.1,3.9,7.4,7.5,6.6,6.6
Q2 2024,TechTrends,28.0,8.2,4.6,8.3,8.6,9.0,8.5
Q2 2024,ElectroMax,25.8,6.0,4.3,8.5,7.3,8.8,8.5
Q2 2024,GadgetWorld,19.5,6.2,4.2,7.1,8.8,7.9,7.7
Q2 2024,DigitalDirect,15.5,5.1,4.1,6.4,9.0,7.3,6.9
Q2 2024,TechDepot,11.2,2.8,3.9,7.5,7.4,6.7,6.5
Q3 2024,TechTrends,28.8,8.8,4.6,8.4,8.6,9.1,8.6
Q3 2024,ElectroMax,25.2,5.7,4.3,8.4,7.2,8.8,8.4
Q3 2024,GadgetWorld,19.8,6.5,4.3,7.2,8.8,8.0,7.8
Q3 2024,DigitalDirect,15.8,5.4,4.1,6.5,9.0,7.4,7.0
Q3 2024,TechDepot,10.4,2.5,4.0,7.5,7.3,6.8,6.4